"STREET","CITY","REGION","ZIP","CC2"
"Rua Segundo-Tenente Ary Rauen","Guarulhos","SP","07096-130","BR"
"Praça Cabo Eutrópio Wilhelm de Freitas","Guarulhos","SP","07096-232","BR"
"Parque Municipal Onofre Miranda Neto","Guarulhos","SP","07122-091","BR"
"Praça Rubil de Almeida Barbosa","Guarulhos","SP","07130-450","BR"
"Rua Dois","Guarulhos","SP","07130-543","BR"
"Viela São Gonçalo do Abaeté","Guarulhos","SP","07131-130","BR"
"Rua São João do Oriente","Guarulhos","SP","07133-060","BR"
"Rua Pedro Paulo de Medeiros","Guarulhos","SP","07135-383","BR"
"Rua Espírito Santo Dourado","Guarulhos","SP","07140-340","BR"
"Viela Pinhal","Guarulhos","SP","07142-060","BR"
"Rua Elisa Premier","Guarulhos","SP","07142-680","BR"
"Rua do Cacau","Guarulhos","SP","07144-430","BR"
"Avenida Mônaco","Guarulhos","SP","07150-050","BR"
"Rua Lagoa das Pedras","Guarulhos","SP","07151-760","BR"
"Viela Cerro Corá","Guarulhos","SP","07152-211","BR"
"Viela Teerã","Guarulhos","SP","07152-560","BR"
"Rua João Alves de Souza Reis Filho","Guarulhos","SP","07154-210","BR"
"Rua Iacri","Guarulhos","SP","07160-222","BR"
"Rua Jefe","Guarulhos","SP","07160-240","BR"
"Rua Tabocas","Guarulhos","SP","07161-456","BR"
"Viela Oliveira","Guarulhos","SP","07172-330","BR"
"Rua Resende Costa","Guarulhos","SP","07176-458","BR"
"Rua Una","Guarulhos","SP","07177-010","BR"
"Rua Árvore da Chuva","Guarulhos","SP","07178-700","BR"
"Rua da Mina","Guarulhos","SP","07179-333","BR"
"Rua Itália","Guarulhos","SP","07195-030","BR"
"Rua Doutor Wenceslau Brás","Guarulhos","SP","07197-190","BR"
"Rua Sume","Guarulhos","SP","07224-030","BR"
"Avenida Serra Branca","Guarulhos","SP","07224-050","BR"
"Rua Laércio Nazareno","Guarulhos","SP","07230-620","BR"
"Rua Antonina do Norte","Guarulhos","SP","07252-160","BR"
"Rua Yara","Guarulhos","SP","07262-540","BR"
"Rua Sodré","Guarulhos","SP","07263-100","BR"
"Rua Vinte e Oito","Guarulhos","SP","07263-737","BR"
"Rua Zulu","Guarulhos","SP","07272-050","BR"
"Rua Eldorado","Guarulhos","SP","07272-260","BR"
"Rua Istilita Antonio Morais","Arujá","SP","07400-790","BR"
"Alameda Azaléias","Arujá","SP","07411-440","BR"
"Avenida Perimetral","Arujá","SP","07432-435","BR"
"Avenida das Palmeiras","Arujá","SP","07434-535","BR"
"Rua Jacy","Arujá","SP","07435-705","BR"
"Rua Santo Antonio","Caieiras","SP","07700-050","BR"
"Rua Johannes Ludwis Nauer","Caieiras","SP","07703-000","BR"
"Rua Antonio Francisco Leme","Caieiras","SP","07713-305","BR"
"Rua Bráz Alves Batista","Caieiras","SP","07749-155","BR"
"Rua Maria Luiza Pinto","Cajamar","SP","07756-600","BR"
"Avenida Deovair Cruz de Oliveira","Cajamar","SP","07776-435","BR"
"Avenida Doutor José Luis Leme Maciel","Cajamar","SP","07786-450","BR"
"Rua Alfredo Marcondes","Cajamar","SP","07786-770","BR"
"Rua Indiana","Cajamar","SP","07787-330","BR"
"Rua Silvério Augusto Tavares","Cajamar","SP","07790-485","BR"
"Rua Jean Anastace Kovelis","Cajamar","SP","07791-842","BR"
"Rua Edgard Máximo Zamboto","Franco da Rocha","SP","07810-160","BR"
"Rua Cinco","Franco da Rocha","SP","07832-290","BR"
"Rodovia Edgar Máximo Zamboto","Franco da Rocha","SP","07834-950","BR"
"Rua Pedro Vaz de Caminha","Franco da Rocha","SP","07845-210","BR"
"Rua Santiago Dantas","Francisco Morato","SP","07902-200","BR"
"Rua Leão IX","Francisco Morato","SP","07930-100","BR"
"Rua Colômbia","Francisco Morato","SP","07942-250","BR"
"Rua Santa Cecília","Francisco Morato","SP","07996-100","BR"
"Rua Idioma Esperanto","São Paulo","SP","08010-350","BR"
"Rua Manuel Moreira Ramos","São Paulo","SP","08020-070","BR"
"Travessa Xavier","São Paulo","SP","08021-227","BR"
"Avenida Coca","São Paulo","SP","08030-000","BR"
"Rua Mamorana","São Paulo","SP","08042-190","BR"
"Via de Pedestre Natureza Morta","São Paulo","SP","08050-260","BR"
"Rua Mário Pati","São Paulo","SP","08051-350","BR"
"Travessa Anivaldo Lopes","São Paulo","SP","08080-096","BR"
"Rua Doutor Gregório de Oliveira e Castro","São Paulo","SP","08090-390","BR"
"Rua Leonil","São Paulo","SP","08122-415","BR"
"Rua Vitória do Espírito Santo","São Paulo","SP","08141-004","BR"
"Rua Candido Pereira de Castro","São Paulo","SP","08142-377","BR"
"Rua Tupassi","São Paulo","SP","08143-015","BR"
"Rua Heráclito Sandano","São Paulo","SP","08151-170","BR"
"Rua Mariano Pamplona","São Caetano do Sul","SP","09520-440","BR"
"Rua das Mangueiras","São Caetano do Sul","SP","09530-740","BR"
"Avenida Goiás","São Caetano do Sul","SP","09550-051","BR"
"Rua Frederico José Furlanetto","São Caetano do Sul","SP","09572-110","BR"
"Rua José Salustiano Santana","São Caetano do Sul","SP","09580-540","BR"
"Rua 24 de Maio","São Bernardo do Campo","SP","09625-000","BR"
"Rua Afonsina","São Bernardo do Campo","SP","09633-000","BR"
"Rua Guilherme Tell","São Bernardo do Campo","SP","09663-010","BR"
"Rua Capitão Mor Antônio de Oliveira","São Bernardo do Campo","SP","09725-110","BR"
"Rua Paulo Setúbal","São Bernardo do Campo","SP","09732-220","BR"
"Rua Olegário Herculano","São Bernardo do Campo","SP","09732-570","BR"
"Rua Sapucaia","São Bernardo do Campo","SP","09765-620","BR"
"Rua Nobre","São Bernardo do Campo","SP","09772-000","BR"
"Rua Joaquim José Maia","São Bernardo do Campo","SP","09790-450","BR"
"Travessa João Antonio","São Bernardo do Campo","SP","09791-255","BR"
"Rua Mateos Demarchi","São Bernardo do Campo","SP","09820-270","BR"
"Rua Emília","São Bernardo do Campo","SP","09830-220","BR"
"Rua do Araçá","São Bernardo do Campo","SP","09832-080","BR"
"Rua Jeronymo Moratti","São Bernardo do Campo","SP","09840-450","BR"
"Rua Cotegipe","São Bernardo do Campo","SP","09843-230","BR"
"Rua Padre Cícero","São Bernardo do Campo","SP","09890-320","BR"
"Rua Bahia","São Bernardo do Campo","SP","09891-570","BR"
"Rua Cecília Meireles","São Bernardo do Campo","SP","09896-240","BR"
"Rua Luiz Gonzaga","São Bernardo do Campo","SP","09896-280","BR"
"Rua Antônio Pedrozelli","Diadema","SP","09910-030","BR"
"Rua Araranguá","Diadema","SP","09932-150","BR"
"Travessa Cairo","Diadema","SP","09941-050","BR"
"Passagem Corpo e Alma","Diadema","SP","09952-395","BR"
"Passagem São Gaspar","Diadema","SP","09960-503","BR"
"Travessa São Serafim","Diadema","SP","09962-630","BR"
"Praça Gilberto","Diadema","SP","09971-370","BR"
"Travessa das Margaridas","Diadema","SP","09972-425","BR"
"Travessa Antônio Bispo José dos Reis","Diadema","SP","09980-243","BR"
"Passagem Antonio Braz de Figueiredo","Diadema","SP","09980-791","BR"
"Rua Marco Antônio","Diadema","SP","09981-110","BR"
"Passagem Mãe Rainha","Diadema","SP","09990-104","BR"
"Rua General Câmara","Santos","SP","11010-120","BR"
"Rua Henrique Dias","Santos","SP","11013-230","BR"
"Rua Professor Celso da Cunha Alves","Santos","SP","11013-570","BR"
"Avenida Senador Feijó","Santos","SP","11015-501","BR"
"Rua Professor Torres Homem","Santos","SP","11025-020","BR"
"Rua Almirante Moraes Rego","Santos","SP","11030-170","BR"
"Rua Professor Alcides Luiz Alves","Santos","SP","11040-310","BR"
"Avenida Conselheiro Nébias","Santos","SP","11045-901","BR"
"Rua Doutor Manoel Victorino","Santos","SP","11060-430","BR"
"Viela B","Santos","SP","11081-420","BR"
"Rua Júlia Ferreira de Carvalho","Santos","SP","11090-050","BR"
"Rua Eustáchio Alves de Souza","Santos","SP","11095-550","BR"
"Rua Dois Mil Cento e Sessenta e Sete","São Vicente","SP","11330-770","BR"
"Rua Pedro Alves","São Vicente","SP","11340-370","BR"
"Rua Ribeirão Preto","São Vicente","SP","11347-710","BR"
"Rua José Viegas","São Vicente","SP","11348-390","BR"
"Avenida Galeão Coutinho","São Vicente","SP","11365-000","BR"
"Avenida Nossa Senhora das Graças","São Vicente","SP","11390-080","BR"
"Rua Mecanizada Nove Mil Novecentos e Noventa e Um","São Vicente","SP","11390-590","BR"
"Avenida Romão Fidalgo Salgado Neto","Guarujá","SP","11445-450","BR"
"Rua Jaraguá","Guarujá","SP","11461-540","BR"
"Rua Raul Picado","Cubatão","SP","11500-170","BR"
"Rua Pastor Jaconias Leite da Silva","Cubatão","SP","11523-150","BR"
"Viela Cesário Pereto","São Paulo","SP","03721-036","BR"
"Avenida Porcino dos Santos","São Paulo","SP","03807-160","BR"
"Rua Ida","São Paulo","SP","03813-390","BR"
"Praça Antônio Alves Vilares da Silva","São Paulo","SP","03906-080","BR"
"Rua Nello Selmi Dei","São Paulo","SP","03908-010","BR"
"Rua Major-Brigadeiro Mário Castello Branco","São Paulo","SP","03908-020","BR"
"Rua Peçanha","São Paulo","SP","03934-075","BR"
"Travessa Aníbal","São Paulo","SP","03938-171","BR"
"Rua Ibiracatu","São Paulo","SP","03940-070","BR"
"Rua Soldado Teonilo de Souza","São Paulo","SP","03977-170","BR"
"Rua Pacamum","São Paulo","SP","03983-110","BR"
"Rua Tibúrcio de Freitas","São Paulo","SP","03986-050","BR"
"Rua do Malvarisco","São Paulo","SP","03987-100","BR"
"Rua Pelotas","São Paulo","SP","04012-902","BR"
"Rua Coronel Lisboa","São Paulo","SP","04020-041","BR"
"Travessa Doutor Ubirajara Martins de Souza","São Paulo","SP","04023-020","BR"
"Rua Crestuma","São Paulo","SP","04030-060","BR"
"Rua Santa Generosa","São Paulo","SP","04042-010","BR"
"Rua Ibaté","São Paulo","SP","04052-040","BR"
"Avenida Ireré","São Paulo","SP","04064-004","BR"
"Alameda dos Anapurus","São Paulo","SP","04087-907","BR"
"Rua Elisa Silveira","São Paulo","SP","04152-000","BR"
"Rua Peter Lely","São Paulo","SP","04164-130","BR"
"Rua Araci","São Paulo","SP","04181-120","BR"
"Rua Góis Raposo","São Paulo","SP","04182-900","BR"
"Rua Frederico Bartholdi","São Paulo","SP","04193-000","BR"
"Rua General Lecor","São Paulo","SP","04213-020","BR"
"Rua São Vicente de Paula","São Paulo","SP","04236-060","BR"
"Rua São Paulo","São Paulo","SP","04236-080","BR"
"Rua Cristo Redentor","São Paulo","SP","04236-260","BR"
"Rua Anatole France","São Paulo","SP","04283-050","BR"
"Rua Capão da Serra","São Paulo","SP","04289-090","BR"
"Rua Nhumirim","São Paulo","SP","04294-040","BR"
"Rua Leucina","São Paulo","SP","04318-100","BR"
"Travessa Luiz Carlos Kakiuthi","São Paulo","SP","04327-055","BR"
"Rua Hildebrando Siqueira","São Paulo","SP","04334-150","BR"
"Rua Luís Vicente de Simoni","São Paulo","SP","04339-020","BR"
"Travessa Francisco Semini","São Paulo","SP","04339-130","BR"
"Avenida Santa Catarina","São Paulo","SP","04378-000","BR"
"Rua Tomasina","São Paulo","SP","04384-120","BR"
"Rua Rio Grande do Sul","São Paulo","SP","04412-070","BR"
"Rua Salvador Faria de Albernaz","São Paulo","SP","04417-070","BR"
"Rua Auriflama","São Paulo","SP","05422-080","BR"
"Rua Original","São Paulo","SP","05435-050","BR"
"Praça Jorge Baptista","São Paulo","SP","05447-190","BR"
"Rua Pedro de Sousa Campos Filho","São Paulo","SP","05451-010","BR"
"Rua Barajuba","São Paulo","SP","05463-040","BR"
"Rua Ladislau Roman","São Paulo","SP","05515-030","BR"
"Avenida Professor Francisco Morato","São Paulo","SP","05520-300","BR"
"Rua Santa Cruz","São Paulo","SP","05528-350","BR"
"Viela Santa Brígida","São Paulo","SP","05528-380","BR"
"Rua Antônio Cardoso Pereira","São Paulo","SP","05546-140","BR"
"Travessa Arroio Primavera","São Paulo","SP","05574-280","BR"
"Travessa Cachoeira das Flores","São Paulo","SP","05574-410","BR"
"Rua Francisco Luz","São Paulo","SP","05583-120","BR"
"Rua Iquiririm","São Paulo","SP","05586-000","BR"
"Avenida Engenheiro Heitor Antônio Eiras Garcia","São Paulo","SP","05588-000","BR"
"Rua Célio Manuel Vieira","São Paulo","SP","05593-020","BR"
"Rua Francisco José Rodrigues Neto","São Paulo","SP","05657-225","BR"
"Rua José Novais","São Paulo","SP","05711-160","BR"
"Rua Ivora","São Paulo","SP","05716-130","BR"
"Rua Benedito Faber","São Paulo","SP","05750-070","BR"
"Rua Sebastião Martins Pereira","São Paulo","SP","05762-260","BR"
"Rua Francisco Gonzaga","São Paulo","SP","05763-380","BR"
"Rua Guimarães Tavares","São Paulo","SP","05805-030","BR"
"Rua Augusto Fabregas","São Paulo","SP","05820-110","BR"
"Rua Manuel Filx Fernandes","São Paulo","SP","05821-110","BR"
"Rua Adilson Brito","São Paulo","SP","05831-010","BR"
"Avenida Alberto Vicente Cardoso","São Paulo","SP","05833-030","BR"
"Rua Roberto Botelho","São Paulo","SP","05857-550","BR"
"Rua Tomás Campanella","São Paulo","SP","05866-160","BR"
"Rua Antônio Alzelino Guerra","São Paulo","SP","05883-260","BR"
"Rua Paulo Lício Rizzo","Osasco","SP","06018-010","BR"
"Rua Benedito Américo de Oliveira","Osasco","SP","06028-080","BR"
"Rua José Aristides Jofre","Osasco","SP","06030-130","BR"
"Alameda Aroeira Vermelha","Osasco","SP","06030-314","BR"
"Rua João Bitencourt","Osasco","SP","06038-090","BR"
"Rua Jácomo Sbravatti","Osasco","SP","06038-270","BR"
"Rua Doutor Theodoro de Souza Brandão","Osasco","SP","06045-150","BR"
"Rua Nelson Palamin","Osasco","SP","06045-180","BR"
"Avenida Caetano de Campos","Osasco","SP","06070-260","BR"
"Travessa Oswald de Andrade","Osasco","SP","06070-340","BR"
"Praça Antônio Menk","Osasco","SP","06093-902","BR"
"Praça Antônio Menk","Osasco","SP","06097-060","BR"
"Rua Joaquim Félix Ribeiro","Osasco","SP","06124-190","BR"
"Rua São Francisco","Osasco","SP","06124-270","BR"
"Rua Bom Conselho","Osasco","SP","06124-320","BR"
"Avenida Internacional","Osasco","SP","06126-000","BR"
"Rua Santa Clara","Osasco","SP","06145-100","BR"
"Rua Espedito Izídio Andrade","Osasco","SP","06150-270","BR"
"Avenida Benedito Alves Turíbio","Osasco","SP","06160-002","BR"
"Avenida Comandante Sampaio","Osasco","SP","06192-000","BR"
"Rua Jasmim Branco","Osasco","SP","06226-250","BR"
"Viela Geraldo Ribeiro Moreira","Osasco","SP","06240-210","BR"
"","","","","BR"
"Alameda Turqueza","Carapicuíba","SP","06351-430","BR"
"Rua Caibi","Carapicuíba","SP","06355-010","BR"
"Alameda Espanha","Carapicuíba","SP","06355-469","BR"
"Rua Serra dos Órgãos","Carapicuíba","SP","06360-280","BR"
"Rua Celso Soncini","Carapicuíba","SP","06361-170","BR"
"Rua Tartário","Carapicuíba","SP","06365-675","BR"
"Rua São Pedro","Carapicuíba","SP","06380-170","BR"
"Rua Bálsamo","Carapicuíba","SP","06381-310","BR"
"Rua Iperó","Carapicuíba","SP","06386-060","BR"
"Rua Yen","Barueri","SP","06410-040","BR"
"Rua Jaraguá","Barueri","SP","06413-040","BR"
"Travessa Ulisses Guimaraes","Barueri","SP","06422-005","BR"
"Rua Jacareí","Barueri","SP","06447-070","BR"
"Rua Francisco Gonçalves Pinto","Santana de Parnaíba","SP","06503-115","BR"
"Viela 23","Santana de Parnaíba","SP","06506-087","BR"
"Estrada Pingo D'Água","Santana de Parnaíba","SP","06514-135","BR"
"Rua São Genaro","Santana de Parnaíba","SP","06516-215","BR"
"Rua Hieronimo Gonçalves Meira","Santana de Parnaíba","SP","06528-110","BR"
"Rua Ernesto de Fiori","Santana de Parnaíba","SP","06537-115","BR"
"Alameda São Carlos","Santana de Parnaíba","SP","06542-040","BR"
"Alameda Bali","Santana de Parnaíba","SP","06543-085","BR"
"Viela Luzia Tasca Rocha","Jandira","SP","06612-005","BR"
"Rua Manoel Nunes","Jandira","SP","06620-030","BR"
"Rua Tóquio","Jandira","SP","06622-020","BR"
"Rua Francisco de Barros Cobra","Jandira","SP","06624-020","BR"
"Rua Francisco Tomaz da Silva","Jandira","SP","06624-300","BR"
"Rua Serra das Araras","Itapevi","SP","06657-430","BR"
"Rua Catuama","Itapevi","SP","06665-120","BR"
"Rodovia Engenheiro Renê Benedito da Silva","Itapevi","SP","06683-000","BR"
"Rua Guilhermina Coelho","Itapevi","SP","06683-525","BR"
"Avenida Professor Joaquim Barreto","Cotia","SP","06700-170","BR"
"Rua das Poesias","Cotia","SP","06702-335","BR"
"Rua Juruá","Cotia","SP","06704-762","BR"
"Rua Águas Verdes","Cotia","SP","06706-205","BR"
"Rua Lúcia","Cotia","SP","06708-170","BR"
"Rua Áries","Cotia","SP","06709-660","BR"
"Rua Guarantã","Cotia","SP","06716-240","BR"
"Estrada do Capuava","Cotia","SP","06716-580","BR"
"Rua Índia","Cotia","SP","06719-660","BR"
"Rua Lamartine Babo","Cotia","SP","06720-150","BR"
"Rua Mário Andreatini","Cotia","SP","06721-507","BR"
"Rua Malvina Maria de Oliveira","Cotia","SP","06726-465","BR"
"Alameda Andrea","Cotia","SP","06726-670","BR"
"Rua Joaquim Pires de Oliveira","Cotia","SP","06727-186","BR"
"Estrada da Capelinha","Cotia","SP","06729-990","BR"
"Rua Ernesto Capelari","Taboão da Serra","SP","06754-904","BR"
"Rua África","Taboão da Serra","SP","06756-430","BR"
"Rua Durvalina Firmino Alves","Taboão da Serra","SP","06766-400","BR"
"Rua João Batista da Fonseca","Taboão da Serra","SP","06767-010","BR"
"Rua Maria Rita Assunção Ferreira","Taboão da Serra","SP","06773-330","BR"
"Alameda Rodrigo Monteiro","Taboão da Serra","SP","06785-525","BR"
"Rua João Reis Lacerda","Taboão da Serra","SP","06787-595","BR"
"Rua Domingos de Paschoal","Embu das Artes","SP","06803-005","BR"
"Travessa Wilson Marinho dos Santos","São Paulo","SP","04431-091","BR"
"Avenida Vinte e Sete","São Paulo","SP","04433-150","BR"
"Rua Francisco Ramos","São Paulo","SP","04437-060","BR"
"Rua Januário da Rocha Franca","São Paulo","SP","04455-340","BR"
"Rua Casa de Emaús","São Paulo","SP","04455-410","BR"
"Rua Santa Úrsula","São Paulo","SP","04459-320","BR"
"Rua Cônego Antônio Pinto","São Paulo","SP","04468-000","BR"
"Rua Pedroso Alvarenga","São Paulo","SP","04531-907","BR"
"Rua Pedroso Alvarenga","São Paulo","SP","04531-929","BR"
"Rua Tabapuã","São Paulo","SP","04533-013","BR"
