STREET,CITY,REGION,ZIP,COUNTRY,LONGITUDE,LATITUDE
Rua Independência,Ponte Nova,MG,35430-138,BR,-42.90046,-20.41159
Rua Acácia,Itaguaí,RJ,23831-490,BR,-43.78925,-22.69711
Rua Emanuel Tomaz de Araújo,Seropédica,RJ,23895-150,BR,-43.70086,-22.74372
Rua Porto Alegre,Niterói,RJ,24322-260,BR,-43.02937,-22.88648
Rua Maria Cândida de Oliveira,São Gonçalo,RJ,24422-560,BR,-43.01648,-22.82138
Travessa Joselina Andrade,São Gonçalo,RJ,24435-821,BR,-43.07873,-22.82034
Rua Paulo Cabral,São Gonçalo,RJ,24451-570,BR,-44.59637,-23.04117
Rua Almerinda Veloso da Cunha,São Gonçalo,RJ,24738-807,BR,-42.93512,-22.85543
Rua Quatro,Itaboraí,RJ,24804-373,BR,-42.90508,-22.7075
Rua IX,Itaboraí,RJ,24868-044,BR,-42.91954,-22.76499
Travessa Santa Rita,Rio de Janeiro,RJ,21853-620,BR,-43.49733,-22.85648
Caminho da Figueira,Rio de Janeiro,RJ,21854-152,BR,-43.30648,-22.98956
Rua Seis,Presidente Prudente,SP,19024-418,BR,-51.43861,-22.12723
Rua Francisco de Almeida Costa,Rio de Janeiro,RJ,23050-280,BR,-43.5632,-22.90508
Rua Operário Marcos Andreotti,Rio de Janeiro,RJ,23062-360,BR,-43.59634,-22.90413
Rua Butiá,Rio de Janeiro,RJ,23080-040,BR,-43.55691,-22.89993
Rua Major Gabriel Teles,Rio de Janeiro,RJ,23085-330,BR,-43.54469,-22.89771
Rua Reverendo Porto Filho,Rio de Janeiro,RJ,23090-850,BR,-43.56722,-22.87139
Rua Virgolino Alves Cardia,Rio de Janeiro,RJ,23095-500,BR,-43.55815,-22.87084
Rua Sebastião Rosa da Paz,Rio de Janeiro,RJ,23097-570,BR,-43.2036,-22.93421
Rua Joaquim de Freitas,Rio de Janeiro,RJ,23098-260,BR,-43.51017,-22.8712
Travessa Adir Jorge,Rio de Janeiro,RJ,23535-130,BR,-43.25252,-22.87843
Rua Jamil Dagli,Rio de Janeiro,RJ,23535-340,BR,-43.69829,-22.98498
Rua General Sidônio Dias Correia,Rio de Janeiro,RJ,22621-070,BR,-43.31212,-23.0114
Rua Macembu,Rio de Janeiro,RJ,22710-245,BR,-43.38013,-22.92885
Rua José Lewgoy,Rio de Janeiro,RJ,22750-065,BR,-43.3302,-22.95007
Rua Governador Leonel Brizola,Maricá,RJ,24933-400,BR,-42.96153,-22.96718
Rua Ubatuba,Maricá,RJ,24939-270,BR,-42.95683,-22.92526
Avenida Antônio Marcos da Costa,Belford Roxo,RJ,26110-070,BR,-43.36685,-22.76263
Rua Mossoró,Belford Roxo,RJ,26113-750,BR,-43.37868,-22.75432
Rua Santo Afonso,Belford Roxo,RJ,26177-320,BR,-43.35328,-22.71819
Rua Alexandre Repani,Magé,RJ,25900-403,BR,-43.02722,-22.63116
Rua Diamantina,Magé,RJ,25919-459,BR,-43.17558,-22.63466
Rua Vicente Paulo de Souza,Magé,RJ,25926-753,BR,-43.03575,-22.66054
Rua Cinco,Magé,RJ,25931-626,BR,-43.17219,-22.71361
Rua Engenheiro Paulo Sérgio Oliveira Fonseca,Guapimirim,RJ,25941-175,BR,-43.0064,-22.6259
Rua Laudelina Ferreira Moreira,Guapimirim,RJ,25949-325,BR,-42.95679,-22.50388
Servidão Jaci,Teresópolis,RJ,25970-794,BR,-42.99204,-22.44846
Rua Martim Afonso,Teresópolis,RJ,25974-190,BR,-42.98208,-22.3848
Estrada Contenda,Teresópolis,RJ,25995-600,BR,-42.95556,-22.38662
Rua Europa,Nova Iguaçu,RJ,26021-380,BR,-43.43206,-22.73074
Rua Doutor João Clementino,Duque de Caxias,RJ,25036-120,BR,-43.31682,-22.76192
Rua E,Duque de Caxias,RJ,25042-250,BR,-43.30288,-22.79619
Rua João da Luz,Duque de Caxias,RJ,25220-306,BR,-43.30353,-22.72812
Rua Carlos Maul,Duque de Caxias,RJ,25261-270,BR,-43.2626,-22.63836
Rua Lapa,Duque de Caxias,RJ,25265-180,BR,-43.2331,-22.65822
Ladeira Guilherme Wilbert,Petrópolis,RJ,25670-140,BR,-43.20856,-22.49015
Rua Olavo Bilac,Nova Friburgo,RJ,28625-060,BR,-42.53456,-22.28609
Rua Santo Inácio,Nova Friburgo,RJ,28625-720,BR,-42.53475,-22.27194
Rua Heitor Capozzi,Nova Friburgo,RJ,28635-365,BR,-42.5168,-22.23487
Rodovia Amaral Peixoto,Rio das Ostras,RJ,28893-630,BR,-41.87534,-22.4458
Rua Maceió,Rio das Ostras,RJ,28895-526,BR,-41.9213,-22.50562
Alameda Rio Arkansas,Rio das Ostras,RJ,28898-446,BR,-41.95172,-22.51055
Rua Quinze,Cabo Frio,RJ,28909-750,BR,-42.00538,-22.60696
Rua José Rodrigues de Oliveira,Vitória,ES,29027-105,BR,-40.35075,-20.31614
Beco Daniel Gonçalves da Silva,Vitória,ES,29032-373,BR,-40.32697,-20.27182
Rua Tancredo Neves,Vitória,ES,29032-567,BR,-40.31829,-20.27056
Rua Projetada,Vila Velha,ES,29103-482,BR,-40.29646,-20.34402
Rua José Carlos Fonseca,Cariacica,ES,29141-640,BR,-40.37008,-20.35318
Rua Renato Petema,Nova Iguaçu,RJ,26272-380,BR,-43.5038,-22.76439
Rua Pacaembu,Nova Iguaçu,RJ,26285-580,BR,-43.52129,-22.74896
Rua Tinguá,Nova Iguaçu,RJ,26294-336,BR,-43.54986,-22.79301
Rua Itajubá,Queimados,RJ,26310-380,BR,-43.56582,-22.71558
Rua Três,Queimados,RJ,26315-180,BR,-43.56097,-22.72593
Rua Reverendo Abdias Ferreira Nobre,Barra do Piraí,RJ,27115-170,BR,-43.79974,-22.44569
Rua Um,Volta Redonda,RJ,27220-180,BR,-44.12788,-22.48472
Rua Dezessete,Resende,RJ,27524-742,BR,-44.49765,-22.48847
Rua Doutor Álvaro de Lacerda,Campos dos Goytacazes,RJ,28013-440,BR,-41.35051,-21.74217
Rua Nazário Pereira Gomes,Campos dos Goytacazes,RJ,28060-204,BR,-41.33036,-21.74183
Rua Rio Grande do Norte,Linhares,ES,29901-020,BR,-40.04679,-19.40592
Rua José Carlos Langa,Linhares,ES,29906-440,BR,-40.05356,-19.34786
Avenida Jairo Mendonça Bahia,São Mateus,ES,29938-220,BR,-39.85978,-18.72237
Avenida Cruzeiro do Norte,São Mateus,ES,29942-210,BR,-39.88374,-18.7204
Praça Antônio Edilio Duarte,Belo Horizonte,MG,30494-320,BR,-43.96666,-19.8254
Rua Cid Rebelo Horta,Belo Horizonte,MG,30530-245,BR,-43.99416,-19.93176
Rua Quatorze,Cariacica,ES,29157-412,BR,-40.38906,-20.26227
Quadra 6 Conjunto 22,Brasília,DF,71256-415,BR,-47.847167999999996,-15.791694
Quadra 3,Brasília,DF,71261-200,BR,-47.92248,-15.84658
Quadra 6 Conjunto D,Brasília,DF,71570-604,BR,-47.92248,-15.84658
Quadra 1 Conjunto 2 Lote 1 Bloco H,Brasília,DF,71587-066,BR,-47.84971,-15.79372
Quadra SHIS QI 15 Chácaras 33 a 40,Brasília,DF,71600-770,BR,-47.83195,-15.82026
Quadra SHIS QI 11 Bloco N,Brasília,DF,71625-630,BR,-47.83195,-15.82026
Rua das Bracatingas,Sinop,MT,78552-451,BR,-55.50126,-11.82561
Rua Rio Capibaribe,Maringá,PR,87043-192,BR,-51.89564,-23.39752
Avenida Tupi,Pato Branco,PR,85501-065,BR,-52.67465,-26.21319
Rua Verônica Opolski,Francisco Beltrão,PR,85606-170,BR,-53.05368,-26.03484
Rua Joanes Kepler,Cascavel,PR,85814-370,BR,-53.43156,-24.92071
Rua La Salle,Cascavel,PR,85816-070,BR,-53.43086,-24.94255
Rua Pontal do Sul,Cascavel,PR,85817-040,BR,-53.4163,-24.94007
Quadra SHIS QL 14 Conjunto 9,Brasília,DF,71640-095,BR,-47.83195,-15.82026
Quadra 301 Conjunto 1,Brasília,DF,71692-701,BR,-47.77637,-15.90774
Quadra QR A,Brasília,DF,71727-010,BR,-47.93057,-15.76519
Rua José Barriga,Rondonópolis,MT,78714-306,BR,-54.63326,-16.4317
Rua Pompilio José Gonçalves,Rondonópolis,MT,78715-326,BR,-54.62234,-16.46587
Rua Francisco Lopes dos Santos,Rondonópolis,MT,78715-472,BR,-54.64573,-16.43487
Avenida João XXIII,Rondonópolis,MT,78720-810,BR,-54.62343,-16.43959
Rua José Maria de Souza Franco,Rondonópolis,MT,78725-645,BR,-54.61127,-16.44241
Rua Pedro Ferrer,Rondonópolis,MT,78740-028,BR,-54.61393,-16.47936
Rua Titanita,Maringá,PR,87083-375,BR,-51.95006,-23.37702
Rua Turquia,Cianorte,PR,87202-392,BR,-52.63992,-23.64481
Quadra QS 14 Conjunto 3,Brasília,DF,71884-516,BR,-48.04098,-15.93144
Quadra QS 7 Rua 400,Brasília,DF,71968-720,BR,-47.93057,-15.76519
Quadra QS 8 Conjunto 610B,Brasília,DF,71973-365,BR,-47.93057,-15.76519
Rua do Sossego,Campo Grande,MS,79015-460,BR,-54.58147,-20.40101
Rua Tuerê,Campo Grande,MS,79018-022,BR,-54.55198,-20.38376
Rua Celso Lacerda Azevedo,Campo Grande,MS,79070-224,BR,-54.61538,-20.52153
Rua Araruna,Campo Mourão,PR,87302-296,BR,-52.37532,-24.05006
Rua Victor Dorta de Oliveira,Umuarama,PR,87504-708,BR,-53.27465,-23.75203
Rua Antonio Fernandes de Lima,Umuarama,PR,87507-136,BR,-53.33768,-23.78692
Rua Maria Sebastiana Floriano,Umuarama,PR,87507-602,BR,-53.30404,-23.78991
Rodovia DF-425,Brasília,DF,73092-911,BR,-47.92909,-15.77829
Quadra 15 Módulo 8,Brasília,DF,73401-821,BR,-47.653325172413794,-15.6306
Quadra 6 MR 4,Planaltina,GO,73752-093,BR,-47.60905,-15.43508
Quadra QN 320 Conjunto 4,Brasília,DF,72310-004,BR,-47.91473,-15.74734
Rua Carurú,Campo Grande,MS,79072-265,BR,-54.68176,-20.49492
Rua Felipe Portinho,Campo Grande,MS,79075-171,BR,-54.71232,-20.45832
Travessa Laucídio Pereira de Souza,Campo Grande,MS,79084-355,BR,-54.64634,-20.53438
Travessa Jade,Campo Grande,MS,79102-090,BR,-54.66724,-20.45285
Rua Professor Milton Roque Ramos Krieger,Florianópolis,SC,88036-080,BR,-48.52509,-27.58375
Quadra QR 41,Planaltina,GO,73754-041,BR,-47.61088,-15.43246
Rua F46,Goiânia,GO,74350-390,BR,-49.26062,-16.66125
Rua RC 16 A,Goiânia,GO,74356-667,BR,-49.22846,-16.61091
Quadra QN 406,Brasília,DF,72318-560,BR,-47.91473,-15.74734
Quadra QR 401 Conjunto 10,Brasília,DF,72319-010,BR,-47.92695,-15.76124
Quadra QS 617 Conjunto P Comércio,Brasília,DF,72333-516,BR,-47.93057,-15.76519
Quadra 10 Conjunto C,Brasília,DF,72415-503,BR,-48.06862283596312,-16.02669490149723
Quadra QR 302 Conjunto A,Brasília,DF,72502-501,BR,-47.92839,-15.7627
Quadra QR 207 Conjunto C,Brasília,DF,72507-403,BR,-47.928545,-15.761375000000001
Quadra CL 408 Bloco F,Brasília,DF,72508-246,BR,-47.87734,-15.78416
Rua Presidente Rodrigues Alves,Campo Grande,MS,79112-350,BR,-54.66591,-20.43443
Rua Colorado,Campo Grande,MS,79112-480,BR,-54.66101,-20.43533
Avenida Tamandaré,Campo Grande,MS,79117-010,BR,-54.62833,-20.43646
Rua Barão de Melgaço,Corumbá,MS,79310-143,BR,-57.63586,-19.00991
Rua Antônio Willemann,São José,SC,88106-143,BR,-48.6239,-27.58219
Servidão Arnoldo Vieira,Palhoça,SC,88130-422,BR,-48.64847,-27.63742
Rua Madri 19,Goiânia,GO,74369-110,BR,-49.31086,-16.73634
Rua MDV 9,Goiânia,GO,74371-420,BR,-49.342298,-16.731872
Rua Almeida Lara,Goiânia,GO,74450-380,BR,-49.31871,-16.65623
Rua Itororó,Goiânia,GO,74455-015,BR,-49.324,-16.6727
Rua Abcília Francisca Caetano,Goiânia,GO,74461-220,BR,-49.34695,-16.65806
Rua Roosevelt Roque Giarola,São João Del Rei,MG,36302-678,BR,-44.21279,-21.10209
Travessa Alzira Diogo,Cataguases,MG,36773-572,BR,-42.70649,-21.38439
Avenida Salum Assad David,Varginha,MG,37062-650,BR,-45.44701,-21.5791
Avenida Engenheiro Pedro Fonseca Paiva,Itajubá,MG,37504-015,BR,-45.46248,-22.42922
Travessa Santo Antônio,Salvador,BA,40323-380,BR,-38.45709,-12.97331
Rua D,Salvador,BA,40330-430,BR,-38.4148,-12.88313
Rua Senhor do Bonfim,Salvador,BA,40352-132,BR,-38.47969,-12.93866
Travessa Henrique Marques,Salvador,BA,40352-463,BR,-38.4762,-12.93877
Travessa Cunha,Salvador,BA,40355-400,BR,-38.48101,-12.94478
Avenida Edgar,Salvador,BA,40393-890,BR,-38.43794,-12.88002
Rua Paraná,Salvador,BA,41210-010,BR,-38.44961,-12.94686
Rua São José do Calabetão,Salvador,BA,41227-168,BR,-38.46571,-12.9323
Rua São Francisco Xavier,Salvador,BA,41230-140,BR,-38.46111,-12.91645
Travessa Valdo,Salvador,BA,41270-411,BR,-38.47371,-13.00397
